,link_ping
2240,75
2241,54
2242,67
2243,46
2244,53
2245,92
2246,68
2247,74
2248,45
2249,64
2250,55
2251,66
2252,99
2253,58
2254,95
2255,105
2256,60
2257,74
2258,5000
2259,56
2260,97
2261,47
2262,48
2263,41
2264,63
2265,52
2266,61
2267,74
2268,71
2269,69
2270,97
2271,70
2272,61
2273,52
2274,1707
2275,69
2276,65
2277,89
2278,5000
2279,43
2280,57
2281,51
2282,88
2283,49
2284,53
2285,5000
2286,49
2287,67
2288,41
2289,72
2290,66
2291,58
2292,67
2293,56
2294,69
2295,93
2296,52
2297,72
2298,46
2299,51
2300,65
2301,79
2302,117
2303,36
2304,113
2305,60
2306,58
2307,70
2308,59
2309,72
2310,71
2311,48
2312,77
2313,34
2314,73
2315,85
2316,53
2317,71
2318,5000
2319,70
2320,51
2321,54
2322,55
2323,281
2324,5000
2325,5000
2326,66
2327,45
2328,77
2329,93
2330,85
2331,77
2332,100
2333,85
2334,78
2335,72
2336,52
2337,54
2338,70
2339,63
2340,73
2341,54
2342,64
2343,49
2344,58
2345,49
2346,74
2347,74
2348,37
2349,77
2350,56
2351,46
2352,73
2353,40
2354,128
2355,57
2356,55
2357,181
2358,3218
2359,84
2360,56
2361,42
2362,63
2363,53
2364,76
2365,87
2366,56
2367,69
2368,50
2369,42
2370,72
2371,80
2372,63
2373,80
2374,53
2375,59
2376,69
2377,62
2378,43
2379,60
2380,147
2381,86
2382,61
2383,42
2384,233
2385,86
2386,63
2387,56
2388,40
2389,72
2390,82
2391,56
2392,66
2393,38
2394,60
2395,65
2396,62
2397,77
2398,49
2399,47
2400,39
2401,1707
2402,72
2403,42
2404,63
2405,59
2406,64
2407,78
2408,102
2409,88
2410,69
2411,54
2412,75
2413,47
2414,64
2415,63
2416,87
2417,73
2418,5000
2419,121
2420,55
2421,60
2422,50
2423,39
2424,62
2425,62
2426,126
2427,77
2428,76
2429,54
2430,54
2431,66
2432,66
2433,62
2434,58
2435,80
2436,65
2437,69
2438,37
2439,43
2440,42
2441,39
2442,83
2443,66
2444,90
2445,123
2446,65
2447,47
2448,59
2449,56
2450,46
2451,59
2452,57
2453,52
2454,75
2455,85
2456,73
2457,73
2458,5000
2459,66
2460,92
2461,87
2462,59
2463,36
2464,47
2465,63
2466,96
2467,70
2468,112
2469,53
2470,54
2471,56
2472,81
2473,5000
2474,50
2475,60
2476,117
2477,76
2478,140
2479,74
2480,107
2481,93
2482,55
2483,64
2484,54
2485,50
2486,72
2487,60
2488,5000
2489,65
2490,48
2491,46
2492,77
2493,89
2494,5000
2495,5000
2496,51
2497,313
2498,246
2499,46
2500,66
2501,64
2502,42
2503,59
2504,57
2505,78
2506,49
2507,543
2508,80
2509,230
2510,94
2511,64
2512,57
2513,77
2514,71
2515,120
2516,59
2517,72
2518,928
2519,114
2520,98
2521,115
2522,72
2523,74
2524,63
2525,100
2526,50
2527,63
2528,45
2529,79
2530,67
2531,47
2532,51
2533,57
2534,55
2535,59
2536,61
2537,55
2538,50
2539,48
2540,111
2541,159
2542,70
2543,67
2544,66
2545,65
2546,65
2547,58
2548,84
2549,120
2550,76
2551,71
2552,56
2553,40
2554,103
2555,127
2556,115
2557,122
2558,5000
2559,64
2560,77
2561,58
2562,48
2563,55
2564,151
2565,54
2566,63
2567,111
2568,60
2569,83
2570,66
2571,1734
2572,68
2573,50
2574,70
2575,59
2576,112
2577,74
2578,57
2579,55
2580,69
2581,80
2582,72
2583,718
2584,61
2585,76
2586,94
2587,132
2588,59
2589,61
2590,62
2591,42
2592,54
2593,41
2594,73
2595,78
2596,59
2597,80
2598,5000
2599,52
2600,60
2601,65
2602,49
2603,47
2604,115
2605,55
2606,70
2607,78
2608,5000
2609,68
2610,60
2611,50
2612,43
2613,55
2614,81
2615,64
2616,78
2617,78
2618,411
2619,73
2620,48
2621,47
2622,48
2623,54
2624,65
2625,42
2626,70
2627,94
2628,42
2629,73
2630,70
2631,1707
2632,61
2633,5000
2634,112
2635,62
2636,99
2637,55
2638,5000
2639,5000
2640,64
2641,70
2642,64
2643,64
2644,106
2645,69
2646,54
2647,49
2648,68
2649,47
2650,113
2651,131
2652,57
2653,74
2654,60
2655,68
2656,74
2657,66
2658,43
2659,84
2660,54
2661,62
2662,74
2663,138
2664,70
2665,64
2666,64
2667,87
2668,43
2669,92
2670,107
2671,55
2672,66
2673,41
2674,65
2675,64
2676,95
2677,75
2678,49
2679,92
2680,70
2681,63
2682,82
2683,5000
2684,5000
2685,63
2686,59
2687,59
2688,44
2689,41
2690,65
2691,54
2692,75
2693,73
2694,97
2695,80
2696,63
2697,76
2698,54
2699,60
2700,55
2701,47
2702,72
2703,83
2704,83
2705,71
2706,94
2707,54
2708,58
2709,63
2710,55
2711,66
2712,55
2713,55
2714,1707
2715,50
2716,61
2717,75
2718,79
2719,70
2720,87
2721,80
2722,59
2723,439
2724,73
2725,92
2726,95
2727,63
2728,61
2729,68
2730,96
2731,49
2732,116
2733,335
2734,93
2735,95
2736,493
2737,145
2738,433
2739,52
2740,51
2741,70
2742,89
2743,49
2744,51
2745,72
2746,62
2747,63
2748,114
2749,1718
2750,50
2751,74
2752,72
2753,51
2754,72
2755,61
2756,55
2757,69
2758,46
2759,63
2760,89
2761,65
2762,78
2763,73
2764,56
2765,69
2766,82
2767,60
2768,42
2769,91
2770,87
2771,53
2772,81
2773,314
2774,103
2775,85
2776,53
2777,76
2778,69
2779,60
2780,57
2781,63
2782,92
2783,121
2784,51
2785,42
2786,65
2787,84
2788,71
2789,61
2790,67
2791,76
2792,61
2793,71
2794,60
2795,49
2796,76
2797,68
2798,73
2799,104
2800,89
2801,55
2802,61
2803,64
2804,71
2805,68
2806,59
2807,66
2808,48
2809,78
2810,86
2811,70
2812,90
2813,42
2814,58
2815,55
2816,1707
2817,54
2818,61
2819,80
2820,74
2821,56
2822,53
2823,40
2824,70
2825,65
2826,54
2827,68
2828,39
2829,75
2830,109
2831,88
2832,88
2833,63
2834,177
2835,77
2836,78
2837,60
2838,51
2839,60
2840,90
2841,54
2842,106
2843,43
2844,78
2845,73
2846,59
2847,67
2848,40
2849,98
2850,127
2851,59
2852,82
2853,5000
2854,92
2855,63
2856,64
2857,49
2858,2556
2859,67
2860,44
2861,90
2862,65
2863,99
2864,54
2865,45
2866,56
2867,70
2868,49
2869,68
2870,65
2871,51
2872,76
2873,39
2874,58
2875,68
2876,56
2877,75
2878,384
2879,112
2880,85
2881,138
2882,57
2883,5000
2884,64
2885,57
2886,73
2887,64
2888,41
2889,66
2890,57
2891,63
2892,81
2893,45
2894,95
2895,74
2896,56
2897,72
2898,56
2899,61
2900,77
2901,71
2902,52
2903,48
2904,1702
2905,67
2906,1204
2907,73
2908,63
2909,51
2910,62
2911,1707
2912,55
2913,182
2914,5000
2915,70
2916,75
2917,72
2918,91
2919,56
2920,64
2921,61
2922,49
2923,39
2924,61
2925,76
2926,54
2927,66
2928,57
2929,72
2930,74
2931,56
2932,74
2933,48
2934,58
2935,87
2936,55
2937,66
2938,37
2939,71
2940,63
2941,53
2942,73
2943,276
2944,86
2945,72
2946,62
2947,48
2948,64
2949,57
2950,60
2951,77
2952,69
2953,114
2954,57
2955,56
2956,92
2957,65
2958,3218
2959,76
2960,56
2961,42
2962,48
2963,5000
2964,64
2965,61
